index,f_name,l_name,gender,area_code,phone,city,state,zip,marital_status,has_child,salary,rate,single_exemp,married_exemp,child_exemp
6043,Dariu,Maiorov,M,830,368-1058,SPRING,TX,77391,M,N,80000,0.0,0,0,0
6044,Toshihide,Baar,M,206,608-2788,OAKESDALE,WA,99158,S,Y,55000,0.0,0,0,0
6045,Enrico,Lonning,F,808,176-6594,HONOLULU,HI,96844,M,N,60000,8.25,0,2080,0
6046,Josephine,Shiple,F,318,710-7975,HODGE,LA,71247,S,N,35000,6.0,4500,0,0
6047,Maryalice,Simhi,F,703,506-5266,NEW MARKET,VA,22844,S,N,20000,5.75,900,0,0
6048,Chander,Autexier,F,701,919-3040,BISBEE,ND,58317,M,Y,90000,2.7990127,0,6600,3300
6049,Hideya,Guha,M,971,841-7275,HALSEY,OR,97348,M,Y,90000,9.0,0,318,159
6050,Riccardo,Frezza,M,262,829-4331,FRIENDSHIP,WI,53934,S,N,75000,5.7495394,700,0,0
6051,Tyler,Weiland,F,401,883-8087,CAROLINA,RI,02812,S,Y,85000,0.0,0,0,0
6052,Grzegorz,Usoh,F,262,382-2714,DRUMMOND,WI,54832,S,N,50000,5.3151608,700,0,0
6053,Hilan,Evers,F,208,657-5102,HOWE,ID,83244,S,N,55000,7.8,3300,0,0
6054,Shigeyuki,Minakawa,F,207,764-3909,ALFRED,ME,04002,M,Y,20000,8.5,0,5700,2850
6055,Bhagirath,Rauf,F,859,611-2207,BEECH GROVE,KY,42322,M,Y,75000,6.0,0,40,20
6056,Selwyn,Jacopini,M,850,780-1620,LONGWOOD,FL,32791,M,Y,5000,0.0,0,0,0
6057,Mema,Afsarmanesh,M,308,244-3714,PAXTON,NE,69155,M,Y,40000,6.84,0,206,103
6058,Miodrag,Ciesielski,M,307,505-8310,LANDER,WY,82520,M,N,35000,0.0,0,0,0
6059,Lil,Praus,M,410,295-1087,CUMBERLAND,MD,21505,M,N,85000,4.75,0,4800,0
6060,Penelope,Mouzakis,F,252,448-6112,NEBO,NC,28761,M,N,55000,6.8863635,0,6600,0
6061,Meenakshi,Nagamachi,F,773,256-5580,PERRY,IL,62362,M,Y,85000,3.0,0,4000,2000
6062,Weihai,Rilling,M,551,356-7559,GLEN ROCK,NJ,07452,M,N,85000,2.4251041,0,2000,0
6063,Heike,Wijayarathna,M,253,468-5196,SEATTLE,WA,98166,S,Y,5000,0.0,0,0,0
6064,Hosahalli,Umeyama,F,239,308-1532,LABELLE,FL,33975,M,N,90000,0.0,0,0,0
6065,Johnette,Tamches,F,803,256-5541,GREENVILLE,SC,29601,M,N,35000,7.0,0,6600,0
6066,Heneik,Takayama,F,907,258-5937,TOGIAK,AK,99678,M,N,70000,0.0,0,0,0
6067,Caolyn,Vondran,F,928,442-3831,HAYDEN,AZ,85135,M,N,85000,4.0325,0,4200,0
6068,Ozgur,Rivett,M,971,701-5998,WALTON,OR,97490,M,N,95000,9.0,0,318,0
6069,Kave,Kadar,M,701,415-8150,WOLFORD,ND,58385,M,N,65000,2.5092063,0,6600,0
6070,Simone,Latta,F,307,265-7025,ROCK RIVER,WY,82083,M,Y,10000,0.0,0,0,0
6071,Kristo,Ali,F,913,596-9815,FONTANA,KS,66026,S,N,75000,6.45,2250,0,0
6072,Theordore,Strcalov,F,318,312-3680,BATON ROUGE,LA,70827,S,N,100000,6.0,4500,0,0
6073,Ounissa,Cooman,F,334,499-1689,KINSTON,AL,36453,S,N,35000,5.0,1500,0,0
6074,Rogerio,Mynatt,M,808,294-9997,HONOLULU,HI,96812,S,Y,15000,3.743421,1040,0,1040
6075,Viljem,Majewski,F,301,175-3201,LINEBORO,MD,21088,S,Y,35000,4.75,2400,0,2400
6076,Kjeld,Isaac,F,304,844-4507,GLENVILLE,WV,26351,S,Y,75000,6.5,2000,0,2000
6077,Zhengping,Cannata,F,808,658-8293,KAPOLEI,HI,96709,M,N,55000,8.25,0,2080,0
6078,Hillary,Kleftouris,M,580,760-6647,APACHE,OK,73006,S,Y,5000,3.0555556,1000,0,1000
6079,Angus,Tahe,M,224,259-6036,ZION,IL,60099,S,Y,30000,3.0,2000,0,2000
6080,Chengfei,Dom,M,615,603-8720,EAGAN,TN,37730,S,Y,65000,0.0,0,0,0
6081,Engelbert,Bardell,M,859,185-2713,CLINTON,KY,42031,S,N,25000,3.2222223,20,0,0
6082,Alejandra,Galdes,F,302,966-8976,WILMINGTON,DE,19895,S,Y,100000,5.95,110,0,110
6083,Fazel,Gudeman,F,203,802-5725,UNIONVILLE,CT,06087,M,Y,30000,5.0,0,24500,0
6084,CPT,Bertsekas,F,503,117-3469,HAPPY VALLEY,OR,97086,M,Y,50000,9.0,0,318,159
6085,Chenyi,Cliff,M,913,322-5741,MARYSVILLE,KS,66508,S,Y,50000,6.45,2250,0,2250
6086,Markus,Beauzamy,M,870,708-7468,DE WITT,AR,72042,S,N,15000,3.773037,20,0,0
6087,Sanpei,Petho,F,662,923-1519,TAYLORSVILLE,MS,39168,M,Y,35000,5.0,0,12000,1500
6088,Shyue,McMahan,M,787,432-3281,FORT BUCHANAN,PR,00934,S,Y,65000,0.0,0,0,0
6089,Bodhi,Macias,M,402,747-8287,BRISTOW,NE,68719,S,N,15000,4.7976766,103,0,0
6090,Krishnan,Bhoedjang,M,980,580-8273,HICKORY,NC,28601,S,N,95000,7.7255244,3300,0,0
6091,Bojana,Raghavendran,M,580,845-7185,GUYMON,OK,73942,S,N,10000,6.25,1000,0,0
6092,Angus,Perko,M,406,347-6842,DUPUYER,MT,59432,S,N,80000,6.9,1900,0,0
6093,Fano,Luca,F,432,635-4982,DEL RIO,TX,78840,S,Y,25000,0.0,0,0,0
6094,Janette,Haunold,F,308,410-1933,OMAHA,NE,68102,S,N,5000,3.0217428,103,0,0
6095,Sanjiva,Hoene,M,870,539-2532,ADONA,AR,72001,S,N,35000,7.0,20,0,0
6096,Shelby,Sundareshan,M,253,927-6652,CAMANO ISLAND,WA,98282,S,N,60000,0.0,0,0,0
6097,Niko,Demizu,M,734,837-8299,ROCHESTER,MI,48309,S,N,55000,3.9,3100,0,0
6098,Umpei,Reghbati,M,312,267-2983,CANTON,IL,61520,M,Y,5000,3.0,0,4000,2000
6099,Qinru,Stroustrup,F,605,946-2821,KIMBALL,SD,57355,M,N,100000,0.0,0,0,0
6100,Randal,Guizani,M,601,897-5618,COLUMBUS,MS,39703,M,Y,75000,5.0,0,12000,1500
6101,Stanislaw,Langford,F,330,629-7315,WARSAW,OH,43844,M,N,25000,1.3758974,0,2600,0
6102,Gees,Rubsam,M,769,988-8957,MOOREVILLE,MS,38857,S,Y,85000,5.0,6000,0,1500
6103,Samaradasa,Danley,M,208,422-3267,BOISE,ID,83757,M,N,60000,7.8,0,6600,0
6104,Tatung,Kharatishvili,F,808,783-4529,HONOLULU,HI,96816,S,N,40000,8.25,1040,0,0
6105,Sudhir,Machta,M,918,885-1049,OKLAHOMA CITY,OK,73198,M,Y,80000,6.25,0,2000,1000
6106,Gill,Krzyzanowski,F,702,350-7101,RENO,NV,89519,S,N,5000,0.0,0,0,0
6107,Viv,Kuemmerle,F,302,316-7231,NEWARK,DE,19718,M,N,50000,5.268182,0,220,0
6108,Mien,Thees,F,864,707-9333,MINTURN,SC,29573,S,N,85000,7.0,3300,0,0
6109,Silvia,Haunold,F,574,715-8426,LIGONIER,IN,46767,S,Y,45000,3.4,1000,0,1000
6110,Belaid,Gips,F,443,916-1520,ELLICOTT CITY,MD,21042,M,N,60000,4.75,0,4800,0
6111,Ahsan,Batzoglou,F,203,388-5177,GALES FERRY,CT,06335,S,N,95000,5.0,12750,0,0
6112,Niranjani,Melzak,M,215,244-1249,CARBONDALE,PA,18407,S,N,45000,3.07,0,0,0
6113,Nick,Leahy,M,314,841-6804,WATSON,MO,64496,M,N,95000,6.0,0,4200,0
6114,Guenther,Chiodo,M,808,184-7061,MOUNTAIN VIEW,HI,96771,S,N,100000,8.25,1040,0,0
6115,Piere,Baroglio,F,504,234-1393,NEW ORLEANS,LA,70178,S,N,5000,2.0,4500,0,0
6116,Arvola,Terrasse,F,302,772-4578,ROCKLAND,DE,19732,M,N,45000,4.927273,0,220,0
6117,Zhenzhou,Witschorik,F,702,431-7501,LAS VEGAS,NV,89134,S,N,40000,0.0,0,0,0
6118,Eskinder,Kuester,F,228,129-9990,OKOLONA,MS,38860,M,Y,50000,5.0,0,12000,1500
6119,Chern,Kabra,M,860,996-1357,GLASTONBURY,CT,06033,S,N,10000,NaN,12750,0,0
6120,Hidetsune,Llorente,M,808,288-4732,OCEAN VIEW,HI,96737,M,Y,95000,8.25,0,2080,1040
6121,Zhiqiang,Bonsangue,F,808,367-7661,HILO,HI,96720,M,N,65000,8.25,0,2080,0
6122,Benn,Edmundson,F,307,515-3671,FORT WASHAKIE,WY,82514,S,Y,95000,0.0,0,0,0
6123,Birgitta,Quiroz,F,515,353-8471,DES MOINES,IA,50980,M,N,30000,4.795432,0,80,0
6124,Raanan,Saracelli,M,360,567-9612,MARSHALL,WA,99020,S,N,90000,0.0,0,0,0
6125,Gavin,Hauskrecht,F,574,444-5823,SHIPSHEWANA,IN,46565,S,N,30000,3.4,1000,0,0
6126,Kristinn,Haber,F,262,310-7025,GRANTON,WI,54436,S,Y,20000,4.7939067,700,0,400
6127,Kimmo,Payton,F,505,901-5290,BARD,NM,88411,M,Y,90000,5.3,0,6600,3300
6128,Bhupinder,Martyna,F,724,589-1129,PARKESBURG,PA,19365,S,N,20000,3.07,0,0,0
6129,Bill,Muchinsky,M,801,279-4262,THOMPSON,UT,84540,S,Y,70000,7.0,2475,0,2475
6130,Hamza,Lakhani,M,701,749-3634,ABERCROMBIE,ND,58001,M,N,35000,2.161439,0,6600,0
6131,Quinlong,Henseler,M,574,868-3543,WILLIAMSPORT,IN,47993,M,Y,95000,3.4,0,2000,1000
6132,Nesime,Zrehen,M,918,423-2271,ADA,OK,74820,S,Y,35000,6.25,1000,0,1000
6133,Apkar,Calkins,M,206,160-8802,MOXEE,WA,98936,M,Y,45000,0.0,0,0,0
6134,Neelam,Pecuchet,M,315,662-7650,COLUMBIAVILLE,NY,12050,M,Y,80000,4.4170732,0,0,1000
6135,Hoda,Vidal,M,804,862-8845,NATHALIE,VA,24577,S,N,95000,5.75,900,0,0
6136,Adegbemiga,Conte,F,425,234-7548,YAKIMA,WA,98907,S,Y,35000,0.0,0,0,0
6137,Cyndi,Rasche,M,501,453-7657,ODEN,AR,71961,S,Y,30000,7.0,20,0,20
6138,Claudionor,Thorelli,F,501,811-8133,WILTON,AR,71865,M,N,100000,7.0,0,40,0
6139,Mabhin,Uren,F,816,955-1516,THOMPSON,MO,65285,S,Y,55000,6.0,2100,0,1200
6140,Jiawei,Craddock,F,701,995-2887,BARNEY,ND,58008,M,N,5000,2.1,0,6600,0
6141,Ileana,Leiva,F,734,244-1933,DETROIT,MI,48244,M,N,70000,3.9,0,6200,0
6142,Wolffried,Wessel,M,435,254-6808,WALES,UT,84667,M,Y,60000,7.0,0,4950,2475
6143,Polly,Lenowitz,F,316,103-8892,COUNCIL GROVE,KS,66846,S,N,55000,6.45,2250,0,0
6144,Wenyu,Vittorini,F,802,503-8746,MONKTON,VT,05469,M,N,45000,3.9004214,0,6600,0
6145,Minsuk,Pacholski,F,774,880-2299,JAMAICA PLAIN,MA,02130,S,N,10000,5.3,3575,0,0
6146,Geunmo,Pinkas,M,203,440-9787,WATERBURY,CT,06704,M,N,35000,5.0,0,24500,0
6147,Yunming,Thery,F,406,896-1399,BROWNING,MT,59417,S,N,20000,6.9,1900,0,0
6148,Xiaodong,Bina,M,802,317-7062,NORWICH,VT,05055,M,Y,55000,4.099376,0,6600,3300
6149,Naotaka,Korbar,M,410,429-1513,ANNAPOLIS,MD,21409,S,Y,90000,4.75,2400,0,2400
6150,Patiwat,Bitter,M,769,487-1824,GULFPORT,MS,39505,M,N,50000,5.0,0,12000,0
6151,Yousri,Ridoux,M,205,422-9199,MYRTLEWOOD,AL,36763,S,N,15000,5.0,1500,0,300
6152,Dragos,Gardarin,F,573,381-9447,HOLDEN,MO,64040,S,Y,15000,6.0,2100,0,1200
6153,Lalgudi,Pelletier,F,802,759-8783,BURLINGTON,VT,05408,M,N,75000,4.4972854,0,6600,0
6154,Andrei,Iijima,M,206,827-8976,PULLMAN,WA,99163,M,N,50000,0.0,0,0,0
6155,Shelia,Franzblau,M,731,242-6216,COLLEGE GROVE,TN,37046,M,N,65000,0.0,0,0,0
6156,Gopalakrishnan,Talmor,M,202,520-3630,WASHINGTON,DC,20434,S,N,30000,9.0,1370,0,0
6157,Algimantas,Lanzl,M,605,847-2615,STRANDBURG,SD,57265,S,Y,30000,0.0,0,0,0
6158,Santos,Goodrum,F,802,839-4478,RIPTON,VT,05766,M,Y,40000,3.800944,0,6600,3300
6159,Diomidis,Penttonen,F,712,483-2108,DUNLAP,IA,51529,M,Y,5000,0.935984,0,80,40
6160,Venkatesan,Bugaenko,M,207,685-4805,SAINT FRANCIS,ME,04774,S,Y,20000,8.5,2850,0,2850
6161,Gara,Jankowitz,M,870,999-9803,COLT,AR,72326,S,Y,75000,7.0,20,0,20
6162,Hosahalli,Lafouge,F,870,354-1442,HARDY,AR,72542,M,Y,60000,7.0,0,40,20
6163,Jiabin,Daszczuk,F,808,436-1811,KAMUELA,HI,96743,M,Y,60000,8.25,0,2080,1040
6164,Hidehiro,Terpou,M,305,615-7545,ORLANDO,FL,32808,S,Y,15000,0.0,0,0,0
6165,Vitaly,Burnell,F,901,774-5690,DYERSBURG,TN,38025,S,Y,50000,0.0,0,0,0
6166,Soohong,Lambe,M,563,658-8923,DES MOINES,IA,50359,M,N,80000,8.98,0,80,0
6167,Van,Assadi,F,773,149-1091,CHAMPAIGN,IL,61821,S,N,60000,3.0,2000,0,0
6168,Tadakazu,Gelsema,F,801,468-6465,DEWEYVILLE,UT,84309,M,Y,35000,7.0,0,4950,2475
6169,Daphna,Niblack,F,907,903-1748,NORTH POLE,AK,99705,M,Y,75000,0.0,0,0,0
6170,Daan,Yamaashi,M,213,826-8866,HERCULES,CA,94547,S,N,75000,9.3,87,0,0
6171,Yukuo,Stround,F,660,828-8753,COFFEY,MO,64636,M,N,90000,6.0,0,4200,0
6172,Jasper,Anick,F,605,115-9259,ROSCOE,SD,57471,M,Y,55000,0.0,0,0,0
6173,Burke,Mihok,F,202,369-5000,WASHINGTON,DC,20041,S,N,50000,9.0,1370,0,0
6174,Aleksey,Soceanu,M,207,923-8662,JEFFERSON,ME,04348,S,N,60000,8.5,2850,0,0
6175,Mizuho,Razek,F,203,578-4089,WATERBURY,CT,06725,M,N,25000,5.0,0,24500,0
6176,Tsvetan,Fussichen,F,907,702-1183,ANCHORAGE,AK-*,99511,M,N,85000,0.0,0,0,0
6177,Shiva,Hillston,M,970,107-2155,ECKLEY,CO,80727,S,Y,70000,4.63,0,0,0
6178,Rinat,Cannon,F,337,415-1178,SIKES,LA,71473,S,N,55000,6.0,4500,0,0
6179,Sudhanshu,Cardazo,M,208,965-3818,BANKS,ID,83602,S,N,70000,7.8,3300,0,0
6180,Tarmo,Syrotiuk,M,507,568-8615,ORR,MN,55771,S,N,5000,5.35,3300,0,0
6181,Haldon,Pascual,F,505,272-8359,LA PLATA,NM,87418,S,Y,55000,5.3,3300,0,3300
6182,Debin,Duval,F,406,312-1629,BRUSETT,MT,59318,S,Y,35000,6.9,1900,0,1900
6183,Valeska,Winters,F,501,404-6524,HOXIE,AR,72433,S,Y,30000,7.0,20,0,20
6184,Vineeth,Gelosh,F,304,510-6528,SALT ROCK,WV,25559,M,Y,65000,6.5,0,4000,2000
6185,Gaelle,Ponomarenko,M,406,319-5578,INGOMAR,MT,59039,M,Y,50000,6.9,0,3800,1900
6186,Ashesh,Bist,F,260,525-8646,FORT WAYNE,IN,46856,M,N,15000,3.4,0,2000,0
6187,Shunge,Sinofsky,F,701,122-3381,ABERCROMBIE,ND,58001,S,Y,10000,2.1,3300,0,3300
6188,Martine,Clary,F,480,721-3908,SONOITA,AZ,85637,S,Y,60000,3.645,2100,0,2300
6189,Kiyotoshi,Mallach,F,501,216-6167,BOLES,AR,72926,M,Y,100000,7.0,0,40,20
6190,Simson,Bokhari,M,701,520-7706,SANBORN,ND,58480,M,Y,60000,2.451245,0,6600,3300
6191,Belaid,Noro,F,218,238-5901,LORETTO,MN,55597,M,N,95000,7.85,0,6600,0
6192,Adrianos,Nonnenmacher,M,302,586-6209,DOVER,DE,19904,S,Y,85000,5.95,110,0,110
6193,Yuxi,Vegdahl,F,208,438-8799,MOYIE SPRINGS,ID,83845,S,Y,45000,7.8,3300,0,3300
6194,Femi,Higashino,F,307,284-8586,CHEYENNE,WY,82006,S,N,60000,0.0,0,0,0
6195,Serenella,Raney,F,484,739-4573,POMEROY,PA,19367,S,N,30000,3.07,0,0,0
6196,Rade,Pirogowa,M,847,602-6619,HILLVIEW,IL,62050,M,N,25000,3.0,0,4000,0
6197,Francesmary,Vadhan,F,623,385-4184,PHOENIX,AZ,85011,S,Y,55000,3.5674999,2100,0,2300
6198,Alia,Kusakari,F,808,683-1392,HONOLULU,HI,96828,S,Y,100000,8.25,1040,0,1040
6199,Edna,Goli,F,843,987-8471,SENECA,SC,29679,S,Y,100000,7.0,3300,0,3300
6200,Sakthirel,Huhdanpaa,F,908,983-6310,PITMAN,NJ,08071,S,N,95000,2.5828125,1000,0,0
6201,Sadayoshi,Kamo,M,308,470-1799,CRAWFORD,NE,69339,S,Y,55000,6.84,103,0,103
6202,Tzvetan,Verhofstadt,F,641,886-5919,VINTON,IA,52349,S,N,45000,7.111101,40,0,0
6203,Zane,Yigit,F,312,585-5841,CAROL STREAM,IL,60128,M,N,95000,3.0,0,4000,0
6204,Huiling,Tullis,M,307,390-4378,BURLINGTON,WY,82411,M,N,15000,0.0,0,0,0
6205,Jefry,Signore,M,605,956-8517,NORTH SIOUX CITY,SD,57049,M,Y,45000,0.0,0,0,0
6206,Lichun,Karlin,F,702,139-6324,AUSTIN,NV,89310,M,Y,55000,0.0,0,0,0
6207,Hou,Pidd,F,650,929-6486,SACRAMENTO,CA,94256,S,N,55000,9.3,87,0,0
6208,Siddharth,Detkin,F,530,194-1110,CRESTLINE,CA,92325,S,Y,80000,9.3,87,0,272
6209,Karol,Rajanarayanan,M,813,409-5559,CLERMONT,FL,34713,M,Y,85000,0.0,0,0,0
6210,Alanoly,Facello,M,802,918-9679,HARTFORD,VT,05047,S,Y,15000,3.6,3300,0,3300
6211,Viswanath,Brodman,F,614,522-4735,MANSFIELD,OH,44903,S,N,80000,3.2016153,1300,0,0
6212,Ingbert,Paterakis,M,203,100-3309,NAUGATUCK,CT,06770,M,N,10000,NaN,0,24500,0
6213,Irina,Leitsch,M,769,947-8463,GRACE,MS,38745,M,N,55000,5.0,0,12000,0
6214,Shin,Philipson,F,505,115-3844,AZTEC,NM,87410,M,N,70000,5.3,0,6600,0
6215,Nevana,Mournier,M,270,218-4424,SYMSONIA,KY,42082,M,Y,70000,5.7222223,0,40,20
6216,Trent,Rotger,M,551,155-5737,MONMOUTH JUNCTION,NJ,08852,S,Y,20000,1.4,1000,0,1500
6217,Mechthild,Randi,M,405,282-8065,FITZHUGH,OK,74843,M,Y,20000,6.25,0,2000,1000
6218,Etta,Prior,M,908,234-6237,KEARNY,NJ,07032,M,N,5000,1.4,0,2000,0
6219,Salam,Feldmeister,F,614,537-7652,BROOKVILLE,OH,45309,S,N,90000,3.533564,1300,0,0
6220,Mengjou,Khayat,M,808,865-5457,J B P H H,HI,96860,M,Y,5000,1.9407895,0,2080,1040
6221,Jago,Demian,M,503,977-5958,ALLEGANY,OR,97407,S,Y,40000,9.0,159,0,159
6222,Inbal,Kafatos,F,251,146-1524,STERRETT,AL,35147,S,N,85000,5.0,1500,0,0
6223,Arnold,Hertzum,F,443,517-6733,BITTINGER,MD,21522,M,Y,20000,4.75,0,4800,2400
6224,Annemarie,Dalheimer,F,715,354-5125,GREEN BAY,WI,54302,M,Y,5000,4.6,0,1400,400
6225,Kolar,Azagury,M,505,511-9836,ALBUQUERQUE,NM,87197,M,N,85000,5.3,0,6600,0
6226,Garnik,Mugridge,F,662,950-4550,SHERMAN,MS,38869,M,N,90000,5.0,0,12000,0
6227,Yahui,Carrico,F,302,632-8743,FREDERICA,DE,19946,S,N,5000,2.2,110,0,0
6228,Zizette,Reid,M,808,743-8260,HAKALAU,HI,96710,S,N,70000,8.25,1040,0,0
6229,Kunle,Rieffel,F,208,242-6274,BOISE,ID,83709,S,N,70000,7.8,3300,0,0
6230,Margarita,Kleiter,M,610,162-8833,FORT LOUDON,PA,17224,S,Y,30000,3.07,0,0,0
6231,Gretta,Collavizza,M,769,249-6487,LAUREL,MS,39443,M,N,10000,5.0,0,12000,0
6232,Lowrence,Majetic,F,563,389-6350,CLINTON,IA,52736,S,Y,10000,1.7078737,40,0,40
6233,Sergui,Vignollet,F,219,305-8208,HOWE,IN,46746,M,N,60000,3.4,0,2000,0
6234,Dashing,Anderaa,F,502,754-3393,EWING,KY,41039,S,Y,55000,4.888889,20,0,20
6235,Alicja,Isern,M,802,589-6827,CUTTINGSVILLE,VT,05738,M,N,5000,3.6,0,6600,0
6236,Mino,Mishkin,F,860,181-5145,PRESTON,CT,06365,S,Y,40000,5.0,12750,0,0
6237,Zhanliang,Hensel,F,918,940-8736,ALTUS,OK,73522,S,N,55000,6.25,1000,0,0
6238,Eskinder,Leeper,F,952,375-9924,MINNEAPOLIS,MN,55485,S,N,55000,7.1904483,3300,0,0
6239,Grigore,Giguere,M,303,150-3694,OTIS,CO,80743,M,Y,60000,4.63,0,0,0
6240,Alix,Mosberger,F,715,150-3231,FRANKLIN,WI,53132,S,N,95000,6.097042,700,0,0
6241,Sigeru,Rosenblum,M,270,150-2553,CARROLLTON,KY,41008,M,N,15000,2.6666667,0,40,0
6242,Juichi,Israel,M,402,972-1667,NEBRASKA CITY,NE,68410,M,Y,65000,6.84,0,206,103
6243,Goff,Ouellet,F,580,930-9049,OKLAHOMA CITY,OK,73120,M,N,45000,6.25,0,2000,0
6244,Liqun,Schmittgen,F,253,321-4141,OAKESDALE,WA,99158,M,N,15000,0.0,0,0,0
6245,Aleksandar,Erni,F,623,807-7720,FORT THOMAS,AZ,85536,S,N,50000,3.49,2100,0,0
6246,Beat,Gopfrich,M,540,965-3061,PLEASANT VALLEY,VA,22848,M,N,85000,5.75,0,1800,0
6247,Czeslaw,Schrodl,F,913,112-8706,ENSIGN,KS,67841,M,N,50000,6.45,0,4500,0
6248,Jill,Gupta,F,702,657-1271,LAS VEGAS,NV,89173,M,N,50000,0.0,0,0,0
6249,Ruiz,Noda,M,702,716-4178,SPARKS,NV,89434,S,Y,35000,0.0,0,0,0
6250,Xinyu,Nitadori,M,231,543-5632,BRIGHTON,MI,48116,M,N,85000,3.9,0,6200,0
6251,Gookhai,Neurohr,M,618,347-7217,OHIO,IL,61349,S,Y,80000,3.0,2000,0,2000
6252,GuoDong,Yuguchi,M,802,410-1413,SHEFFIELD,VT,05866,S,Y,50000,3.9998987,3300,0,3300
6253,Baltasar,Hettesheimer,F,702,233-3560,LAS VEGAS,NV,89156,M,N,65000,0.0,0,0,0
6254,Duane,Denti,F,508,226-8208,EAST LONGMEADOW,MA,01028,M,N,20000,5.3,0,7150,0
6255,Suneeta,Aerts,F,480,813-2437,PHOENIX,AZ,85085,S,Y,75000,3.8775,2100,0,2300
6256,Marghny,Korshunov,M,651,193-1874,BACKUS,MN,56435,M,N,65000,7.724066,0,6600,0
6257,Prakash,Pontow,F,786,851-3377,SARASOTA,FL,34232,M,Y,50000,0.0,0,0,0
6258,Ying,Lowen,F,425,165-4134,SEATTLE,WA,98171,M,Y,90000,0.0,0,0,0
6259,Petter,Phan,F,620,765-3905,TOPEKA,KS,66629,S,N,80000,6.45,2250,0,0
6260,Ashutosh,Phuc,M,202,301-9693,WASHINGTON,DC,20005,M,N,40000,9.0,0,2740,0
6261,Udai,Strehlo,F,316,133-3587,KANSAS CITY,KS,66110,S,N,35000,6.45,2250,0,0
6262,Takenori,Clary,F,971,893-8688,BEAVERTON,OR,97005,S,Y,45000,9.0,159,0,159
6263,Varsha,Hegner,M,651,923-9087,SIDE LAKE,MN,55781,S,N,40000,6.3900213,3300,0,0
6264,Esteban,Dandapani,M,202,472-8886,WASHINGTON,DC,20081,M,Y,25000,7.875,0,2740,1370
6265,Jolly,Bruckman,M,724,654-2846,RONCO,PA,15476,M,N,75000,3.07,0,0,0
6266,Mariet,Frison,M,402,811-6831,STEELE CITY,NE,68440,S,N,25000,6.5736103,103,0,0
6267,Hakgene,Devore,M,706,382-5989,BLUFFTON,GA,39824,M,N,100000,6.0,0,5400,0
6268,Bede,Partee,F,864,364-5266,WILLIAMSTON,SC,29697,M,N,80000,7.0,0,6600,0
6269,Brian,Daun,M,252,433-6378,DUBLIN,NC,28332,M,Y,50000,6.7814684,0,6600,3300
6270,Hidefumi,Pleser,F,603,907-4721,SOUTH SUTTON,NH,03273,S,N,35000,0.0,0,0,0
6271,Vaggelis,Petersohn,M,931,899-6916,HUMBOLDT,TN,38343,M,N,40000,0.0,0,0,0
6272,Mar,Feinberg,M,864,814-7418,PROSPERITY,SC,29127,M,Y,25000,7.0,0,6600,3300
6273,Changhwa,Fontet,M,520,778-1360,TUCSON,AZ,85721,M,N,40000,3.335,0,4200,0
6274,Katsuro,Coolsaet,F,620,627-3995,LONG ISLAND,KS,67647,M,N,20000,4.483333,0,4500,0
6275,Xuhua,Suter,F,217,589-5140,SPRINGFIELD,IL,62726,S,N,75000,3.0,2000,0,0
6276,Alselm,Sanghavi,F,207,784-5935,PORTLAND,ME,04124,M,N,35000,8.5,0,5700,0
6277,Kiyotaka,Nishanov,M,808,621-6660,VOLCANO,HI,96785,M,Y,30000,6.447368,0,2080,1040
6278,Dominic,Truscott,M,602,546-2633,SAN LUIS,AZ,85349,M,N,40000,3.335,0,4200,0
6279,Jurn,Ciampichetti,F,504,485-3608,NEW IBERIA,LA,70560,M,N,15000,2.8,0,9000,0
6280,Reg,Canon,F,802,340-7387,RANDOLPH,VT,05060,M,N,70000,4.397808,0,6600,0
6281,Marit,Gluchowski,M,702,821-8064,LAS VEGAS,NV,89156,S,Y,75000,0.0,0,0,0
6282,Antony,Zlatev,M,406,916-2085,HARRISON,MT,59735,M,Y,25000,6.9,0,3800,1900
6283,Thea,Niblack,M,608,274-7573,BRILLION,WI,54110,S,Y,25000,4.880782,700,0,400
6284,Morihiro,Wood,F,509,233-2302,KALAMA,WA,98625,S,N,50000,0.0,0,0,0
6285,Souvik,Mikkilineni,M,504,495-6113,SAINT AMANT,LA,70774,S,Y,20000,4.4,4500,0,1000
6286,Baik,Gwinn,F,808,601-5190,HONOLULU,HI,96847,S,N,80000,8.25,1040,0,0
6287,Syunichiro,Baz,M,505,603-6382,OHKAY OWINGEH,NM,87566,S,N,50000,5.3,3300,0,0
6288,Bede,Furedi,F,605,971-9461,ONAKA,SD,57466,M,Y,25000,0.0,0,0,0
6289,Wiebe,Fahringer,F,339,743-2294,LYNN,MA,01904,S,Y,40000,5.3,3575,0,1000
6290,Dragutin,Postma,M,607,188-4032,DALTON,NY,14836,M,Y,5000,4.0,0,0,1000
6291,Kye,Cronin,M,203,462-5622,STAMFORD,CT,06926,S,N,55000,5.0,12750,0,0
6292,Fillia,Hedidar,M,843,352-5299,NEW ELLENTON,SC,29809,S,N,35000,7.0,3300,0,0
6293,Agnieszka,Hadon,F,202,327-9705,WASHINGTON,DC,20565,M,Y,50000,9.0,0,2740,1370
6294,Srecko,Bickford,M,712,545-6189,WEST BEND,IA,50597,S,N,60000,8.98,40,0,0
6295,Winfried,Leena,M,304,116-8227,CHARLESTON,WV,25365,S,N,50000,5.8,2000,0,0
